depth;date;year;temp
2.5;04.12.1950;1950;6.3
5;04.12.1950;1950;6.3
7.5;04.12.1950;1950;6.3
10;04.12.1950;1950;6.3
15;04.12.1950;1950;6.8
20;04.12.1950;1950;6.9
25;04.12.1950;1950;6.9
30;04.12.1950;1950;6.8
0;08.02.1951;1951;2.7
2.5;08.02.1951;1951;2.7
5;08.02.1951;1951;2.8
7.5;08.02.1951;1951;2.8
10;08.02.1951;1951;2.9
15;08.02.1951;1951;2.9
20;08.02.1951;1951;3
25;08.02.1951;1951;3.2
30;08.02.1951;1951;3.4
0;08.03.1951;1951;2.9
2.5;08.03.1951;1951;3
5;08.03.1951;1951;3.1
7.5;08.03.1951;1951;3.1
10;08.03.1951;1951;3.1
15;08.03.1951;1951;3.2
20;08.03.1951;1951;3.2
25;08.03.1951;1951;3.4
30;08.03.1951;1951;3.5
0;03.04.1951;1951;5.3
2.5;03.04.1951;1951;5.1
5;03.04.1951;1951;5
7.5;03.04.1951;1951;5
10;03.04.1951;1951;5
15;03.04.1951;1951;4.9
20;03.04.1951;1951;4.9
25;03.04.1951;1951;4.8
30;03.04.1951;1951;4.8
0;07.05.1951;1951;14.4
2.5;07.05.1951;1951;13.2
5;07.05.1951;1951;10.1
7.5;07.05.1951;1951;9.4
10;07.05.1951;1951;8.5
15;07.05.1951;1951;7
20;07.05.1951;1951;6.3
25;07.05.1951;1951;6
30;07.05.1951;1951;5.5
0;07.06.1951;1951;18.3
2.5;07.06.1951;1951;18.2
5;07.06.1951;1951;17.8
7.5;07.06.1951;1951;11.5
10;07.06.1951;1951;9.1
15;07.06.1951;1951;7.8
20;07.06.1951;1951;6.4
25;07.06.1951;1951;6.1
30;07.06.1951;1951;5.8
0;03.07.1951;1951;20.1
2.5;03.07.1951;1951;19.9
5;03.07.1951;1951;18.9
7.5;03.07.1951;1951;13.2
10;03.07.1951;1951;9.5
15;03.07.1951;1951;7.8
20;03.07.1951;1951;7.1
25;03.07.1951;1951;6.3
30;03.07.1951;1951;6
0;04.09.1951;1951;20.2
2.5;04.09.1951;1951;20.1
5;04.09.1951;1951;16.5
7.5;04.09.1951;1951;10.9
10;04.09.1951;1951;8.8
15;04.09.1951;1951;7.4
20;04.09.1951;1951;7
25;04.09.1951;1951;6.5
30;04.09.1951;1951;6
0;02.10.1951;1951;16.5
2.5;02.10.1951;1951;16.6
5;02.10.1951;1951;16.2
7.5;02.10.1951;1951;15.7
10;02.10.1951;1951;10.1
15;02.10.1951;1951;8.4
20;02.10.1951;1951;6.7
25;02.10.1951;1951;6.3
30;02.10.1951;1951;6.2
0;11.09.1952;1952;17
2.5;11.09.1952;1952;17
5;11.09.1952;1952;17.2
7.5;11.09.1952;1952;14.4
10;11.09.1952;1952;8.5
15;11.09.1952;1952;6.4
20;11.09.1952;1952;6
25;11.09.1952;1952;5.6
30;11.09.1952;1952;5.2
0;27.01.1953;1953;1.8
2.5;27.01.1953;1953;1.9
5;27.01.1953;1953;2.1
7.5;27.01.1953;1953;2.4
10;27.01.1953;1953;2.6
15;27.01.1953;1953;2.8
20;27.01.1953;1953;3.5
25;27.01.1953;1953;3.6
30;27.01.1953;1953;3.8
0;03.03.1953;1953;2.4
2.5;03.03.1953;1953;2.7
5;03.03.1953;1953;2.7
7.5;03.03.1953;1953;2.7
10;03.03.1953;1953;2.8
15;03.03.1953;1953;2.9
20;03.03.1953;1953;3.5
25;03.03.1953;1953;3.7
30;03.03.1953;1953;3.4
0;27.03.1953;1953;6.3
2.5;27.03.1953;1953;6.1
5;27.03.1953;1953;5.9
7.5;27.03.1953;1953;5
10;27.03.1953;1953;4.3
15;27.03.1953;1953;3.7
20;27.03.1953;1953;3.7
25;27.03.1953;1953;3.6
30;27.03.1953;1953;3.7
0;17.04.1953;1953;8.2
2.5;17.04.1953;1953;8.1
5;17.04.1953;1953;7.8
7.5;17.04.1953;1953;7.4
10;17.04.1953;1953;7.2
15;17.04.1953;1953;5.4
20;17.04.1953;1953;4.8
25;17.04.1953;1953;4.3
30;17.04.1953;1953;4
0;26.05.1953;1953;25.5
2.5;26.05.1953;1953;21.6
5;26.05.1953;1953;13.6
7.5;26.05.1953;1953;11.1
10;26.05.1953;1953;7.9
15;26.05.1953;1953;6.1
20;26.05.1953;1953;5.4
25;26.05.1953;1953;5.1
30;26.05.1953;1953;4.6
0;23.06.1953;1953;20.2
2.5;23.06.1953;1953;19
5;23.06.1953;1953;16.4
7.5;23.06.1953;1953;12.3
10;23.06.1953;1953;9
15;23.06.1953;1953;6.3
20;23.06.1953;1953;5.8
25;23.06.1953;1953;5.4
30;23.06.1953;1953;5
0;27.07.1953;1953;23.4
2.5;27.07.1953;1953;21.8
5;27.07.1953;1953;17.6
7.5;27.07.1953;1953;12.6
10;27.07.1953;1953;8.5
15;27.07.1953;1953;6.6
20;27.07.1953;1953;6.2
25;27.07.1953;1953;5.7
30;27.07.1953;1953;5.5
0;25.08.1953;1953;20
2.5;25.08.1953;1953;20
5;25.08.1953;1953;19.8
7.5;25.08.1953;1953;11.8
10;25.08.1953;1953;9.1
15;25.08.1953;1953;6.6
20;25.08.1953;1953;6.2
25;25.08.1953;1953;5.8
30;25.08.1953;1953;5.4
0;21.09.1953;1953;17.9
2.5;21.09.1953;1953;17.6
5;21.09.1953;1953;17.6
7.5;21.09.1953;1953;14.8
10;21.09.1953;1953;9.3
15;21.09.1953;1953;7.1
20;21.09.1953;1953;6.4
25;21.09.1953;1953;6
30;21.09.1953;1953;5.6
0;20.10.1953;1953;14.2
2.5;20.10.1953;1953;14.2
5;20.10.1953;1953;14.1
7.5;20.10.1953;1953;13.8
10;20.10.1953;1953;9.2
15;20.10.1953;1953;6.8
20;20.10.1953;1953;6.4
25;20.10.1953;1953;6
30;20.10.1953;1953;5.6
0;18.11.1953;1953;8.7
2.5;18.11.1953;1953;8.9
5;18.11.1953;1953;8.9
7.5;18.11.1953;1953;9
10;18.11.1953;1953;8.9
15;18.11.1953;1953;6.7
20;18.11.1953;1953;6.3
25;18.11.1953;1953;5.8
30;18.11.1953;1953;5.5
0;14.12.1953;1953;6.1
2.5;14.12.1953;1953;6.1
5;14.12.1953;1953;6.1
7.5;14.12.1953;1953;6.1
10;14.12.1953;1953;6.2
15;14.12.1953;1953;6.2
20;14.12.1953;1953;6.1
25;14.12.1953;1953;5.7
30;14.12.1953;1953;5.4
0;08.02.1954;1954;0.2
2.5;08.02.1954;1954;0.8
5;08.02.1954;1954;1.2
7.5;08.02.1954;1954;1.5
10;08.02.1954;1954;1.7
15;08.02.1954;1954;2
20;08.02.1954;1954;2.4
25;08.02.1954;1954;2.9
30;08.02.1954;1954;3.2
0;10.03.1954;1954;2.9
2.5;10.03.1954;1954;3
5;10.03.1954;1954;3
7.5;10.03.1954;1954;3
10;10.03.1954;1954;3
15;10.03.1954;1954;2.9
20;10.03.1954;1954;2.9
25;10.03.1954;1954;3
30;10.03.1954;1954;3
0;21.04.1954;1954;6.7
2.5;21.04.1954;1954;6.2
5;21.04.1954;1954;5.9
7.5;21.04.1954;1954;5.8
10;21.04.1954;1954;5.7
15;21.04.1954;1954;5.4
20;21.04.1954;1954;5.4
25;21.04.1954;1954;5.2
30;21.04.1954;1954;4.8
0;18.05.1954;1954;15.2
2.5;18.05.1954;1954;14.6
5;18.05.1954;1954;10.1
7.5;18.05.1954;1954;8.8
10;18.05.1954;1954;7.3
15;18.05.1954;1954;6.1
20;18.05.1954;1954;5.5
25;18.05.1954;1954;5.3
30;18.05.1954;1954;5.2
0;15.06.1954;1954;16.3
2.5;15.06.1954;1954;16.2
5;15.06.1954;1954;15.8
7.5;15.06.1954;1954;9
10;15.06.1954;1954;7
15;15.06.1954;1954;6.3
20;15.06.1954;1954;5.8
25;15.06.1954;1954;5.6
30;15.06.1954;1954;5.3
0;20.07.1954;1954;19.3
2.5;20.07.1954;1954;17.8
5;20.07.1954;1954;17.4
7.5;20.07.1954;1954;12.7
10;20.07.1954;1954;9
15;20.07.1954;1954;6.4
20;20.07.1954;1954;6
25;20.07.1954;1954;5.6
30;20.07.1954;1954;5.4
0;26.08.1954;1954;17.1
2.5;26.08.1954;1954;17.1
5;26.08.1954;1954;17.1
7.5;26.08.1954;1954;16.5
10;26.08.1954;1954;10.4
15;26.08.1954;1954;6.9
20;26.08.1954;1954;6.3
25;26.08.1954;1954;6
30;26.08.1954;1954;5.6
0;14.09.1954;1954;18.8
2.5;14.09.1954;1954;18.6
5;14.09.1954;1954;17.7
7.5;14.09.1954;1954;13.1
10;14.09.1954;1954;10.2
15;14.09.1954;1954;7.3
20;14.09.1954;1954;6.5
25;14.09.1954;1954;6.1
30;14.09.1954;1954;5.8
0;20.10.1954;1954;13.4
2.5;20.10.1954;1954;13
5;20.10.1954;1954;12.9
7.5;20.10.1954;1954;12.8
10;20.10.1954;1954;10.9
15;20.10.1954;1954;7.4
20;20.10.1954;1954;6.5
25;20.10.1954;1954;6.1
30;20.10.1954;1954;5.8
0;23.11.1954;1954;8.4
2.5;23.11.1954;1954;8.4
5;23.11.1954;1954;8.4
7.5;23.11.1954;1954;8.4
10;23.11.1954;1954;8.4
15;23.11.1954;1954;7.6
20;23.11.1954;1954;6.4
25;23.11.1954;1954;6.1
30;23.11.1954;1954;5.8
0;21.12.1954;1954;6.1
2.5;21.12.1954;1954;6.1
5;21.12.1954;1954;6.2
7.5;21.12.1954;1954;6.2
10;21.12.1954;1954;6.2
15;21.12.1954;1954;6.2
20;21.12.1954;1954;6.2
25;21.12.1954;1954;6.2
30;21.12.1954;1954;6.2
0;26.01.1955;1955;3.8
